dep;week;P;cl_age90;pop
01;2020-S30;49;0;656955
01;2020-S31;5;09;83001
01;2020-S31;3;19;84665
01;2020-S31;21;29;65496
01;2020-S31;16;39;85588
01;2020-S31;7;49;89678
01;2020-S31;10;59;89791
01;2020-S31;3;69;73500
01;2020-S31;6;79;51011
01;2020-S31;0;89;26830
01;2020-S31;0;90;7395
01;2020-S31;71;0;656955
01;2020-S32;3;09;83001
01;2020-S32;7;19;84665
01;2020-S32;18;29;65496
01;2020-S32;9;39;85588
01;2020-S32;9;49;89678
01;2020-S32;9;59;89791
01;2020-S32;5;69;73500
01;2020-S32;2;79;51011
01;2020-S32;2;89;26830
01;2020-S32;2;90;7395
01;2020-S32;66;0;656955
01;2020-S33;3;09;83001
01;2020-S33;11;19;84665
01;2020-S33;37;29;65496
01;2020-S33;10;39;85588
01;2020-S33;12;49;89678
01;2020-S33;9;59;89791
01;2020-S33;8;69;73500
01;2020-S33;0;79;51011
01;2020-S33;0;89;26830
01;2020-S33;0;90;7395
01;2020-S33;90;0;656955
01;2020-S34;7;09;83001
01;2020-S34;23;19;84665
01;2020-S34;53;29;65496
01;2020-S34;37;39;85588
01;2020-S34;22;49;89678
01;2020-S34;24;59;89791
01;2020-S34;9;69;73500
01;2020-S34;4;79;51011
01;2020-S34;2;89;26830
01;2020-S34;0;90;7395
01;2020-S34;181;0;656955
01;2020-S35;14;09;83001
01;2020-S35;46;19;84665
01;2020-S35;87;29;65496
01;2020-S35;46;39;85588
01;2020-S35;35;49;89678
01;2020-S35;35;59;89791
01;2020-S35;10;69;73500
01;2020-S35;13;79;51011
01;2020-S35;17;89;26830
01;2020-S35;20;90;7395
01;2020-S35;323;0;656955
01;2020-S36;23;09;83001
01;2020-S36;79;19;84665
01;2020-S36;104;29;65496
01;2020-S36;81;39;85588
01;2020-S36;69;49;89678
01;2020-S36;52;59;89791
01;2020-S36;23;69;73500
01;2020-S36;21;79;51011
01;2020-S36;9;89;26830
01;2020-S36;2;90;7395
01;2020-S36;463;0;656955
01;2020-S37;27;09;83001
01;2020-S37;65;19;84665
01;2020-S37;94;29;65496
01;2020-S37;90;39;85588
01;2020-S37;65;49;89678
01;2020-S37;85;59;89791
01;2020-S37;43;69;73500
01;2020-S37;18;79;51011
01;2020-S37;8;89;26830
01;2020-S37;5;90;7395
01;2020-S37;500;0;656955
01;2020-S38;48;09;83001
01;2020-S38;88;19;84665
01;2020-S38;118;29;65496
01;2020-S38;114;39;85588
01;2020-S38;126;49;89678
01;2020-S38;79;59;89791
01;2020-S38;32;69;73500
01;2020-S38;35;79;51011
01;2020-S38;15;89;26830
01;2020-S38;5;90;7395
01;2020-S38;660;0;656955
01;2020-S39;15;09;83001
01;2020-S39;65;19;84665
01;2020-S39;131;29;65496
01;2020-S39;65;39;85588
01;2020-S39;78;49;89678
01;2020-S39;82;59;89791
01;2020-S39;48;69;73500
01;2020-S39;29;79;51011
01;2020-S39;10;89;26830
01;2020-S39;4;90;7395
01;2020-S39;527;0;656955
01;2020-S40;14;09;83001
01;2020-S40;94;19;84665
01;2020-S40;123;29;65496
01;2020-S40;95;39;85588
01;2020-S40;97;49;89678
01;2020-S40;86;59;89791
01;2020-S40;45;69;73500
01;2020-S40;25;79;51011
01;2020-S40;13;89;26830
01;2020-S40;9;90;7395
01;2020-S40;601;0;656955
01;2020-S41;27;09;83001
01;2020-S41;156;19;84665
01;2020-S41;197;29;65496
01;2020-S41;203;39;85588
01;2020-S41;220;49;89678
01;2020-S41;181;59;89791
01;2020-S41;133;69;73500
01;2020-S41;76;79;51011
01;2020-S41;59;89;26830
01;2020-S41;41;90;7395
01;2020-S41;1293;0;656955
01;2020-S42;45;09;83001
01;2020-S42;330;19;84665
01;2020-S42;357;29;65496
01;2020-S42;395;39;85588
01;2020-S42;380;49;89678
01;2020-S42;383;59;89791
01;2020-S42;301;69;73500
01;2020-S42;153;79;51011
01;2020-S42;123;89;26830
01;2020-S42;76;90;7395
01;2020-S42;2543;0;656955
01;2020-S43;72;09;83001
01;2020-S43;449;19;84665
01;2020-S43;663;29;65496
01;2020-S43;695;39;85588
01;2020-S43;746;49;89678
01;2020-S43;789;59;89791
01;2020-S43;546;69;73500
01;2020-S43;369;79;51011
01;2020-S43;233;89;26830
01;2020-S43;121;90;7395
01;2020-S43;4684;0;656955
01;2020-S44;125;09;83001
01;2020-S44;627;19;84665
01;2020-S44;861;29;65496
01;2020-S44;954;39;85588
01;2020-S44;1037;49;89678
01;2020-S44;1006;59;89791
01;2020-S44;638;69;73500
01;2020-S44;429;79;51011
01;2020-S44;324;89;26830
01;2020-S44;173;90;7395
01;2020-S44;6174;0;656955
01;2020-S45;157;09;83001
01;2020-S45;704;19;84665
01;2020-S45;736;29;65496
01;2020-S45;786;39;85588
01;2020-S45;867;49;89678
01;2020-S45;897;59;89791
01;2020-S45;622;69;73500
01;2020-S45;401;79;51011
01;2020-S45;298;89;26830
01;2020-S45;143;90;7395
01;2020-S45;5611;0;656955
01;2020-S46;87;09;83001
01;2020-S46;403;19;84665
01;2020-S46;312;29;65496
01;2020-S46;363;39;85588
01;2020-S46;385;49;89678
01;2020-S46;466;59;89791
01;2020-S46;325;69;73500
01;2020-S46;242;79;51011
01;2020-S46;183;89;26830
01;2020-S46;138;90;7395
01;2020-S46;2904;0;656955
01;2020-S47;67;09;83001
01;2020-S47;257;19;84665
01;2020-S47;230;29;65496
01;2020-S47;279;39;85588
01;2020-S47;289;49;89678
01;2020-S47;270;59;89791
01;2020-S47;188;69;73500
01;2020-S47;98;79;51011
01;2020-S47;110;89;26830
01;2020-S47;78;90;7395
01;2020-S47;1866;0;656955
01;2020-S48;38;09;83001
01;2020-S48;180;19;84665
01;2020-S48;136;29;65496
01;2020-S48;160;39;85588
01;2020-S48;169;49;89678
01;2020-S48;194;59;89791
01;2020-S48;123;69;73500
01;2020-S48;86;79;51011
01;2020-S48;86;89;26830
01;2020-S48;65;90;7395
01;2020-S48;1237;0;656955
01;2020-S49;54;09;83001
01;2020-S49;125;19;84665
01;2020-S49;120;29;65496
01;2020-S49;140;39;85588
01;2020-S49;131;49;89678
01;2020-S49;135;59;89791
01;2020-S49;95;69;73500
01;2020-S49;58;79;51011
01;2020-S49;58;89;26830
01;2020-S49;37;90;7395
01;2020-S49;953;0;656955
01;2020-S50;37;09;83001
01;2020-S50;144;19;84665
01;2020-S50;145;29;65496
01;2020-S50;154;39;85588
01;2020-S50;146;49;89678
01;2020-S50;156;59;89791
01;2020-S50;108;69;73500
01;2020-S50;64;79;51011
01;2020-S50;62;89;26830
01;2020-S50;30;90;7395
01;2020-S50;1046;0;656955
01;2020-S51;46;09;83001
01;2020-S51;217;19;84665
01;2020-S51;160;29;65496
01;2020-S51;207;39;85588
01;2020-S51;229;49;89678
01;2020-S51;205;59;89791
01;2020-S51;146;69;73500
01;2020-S51;104;79;51011
01;2020-S51;61;89;26830
01;2020-S51;42;90;7395
01;2020-S51;1417;0;656955
01;2020-S52;35;09;83001
01;2020-S52;127;19;84665
01;2020-S52;123;29;65496
01;2020-S52;138;39;85588
01;2020-S52;149;49;89678
01;2020-S52;138;59;89791
01;2020-S52;80;69;73500
01;2020-S52;73;79;51011
01;2020-S52;46;89;26830
01;2020-S52;39;90;7395
01;2020-S52;948;0;656955
01;2020-S53;25;09;83001
01;2020-S53;113;19;84665
01;2020-S53;165;29;65496
01;2020-S53;157;39;85588
01;2020-S53;173;49;89678
01;2020-S53;144;59;89791
01;2020-S53;115;69;73500
01;2020-S53;50;79;51011
01;2020-S53;56;89;26830
01;2020-S53;44;90;7395
01;2020-S53;1042;0;656955
01;2021-S01;39;09;83001
01;2021-S01;194;19;84665
01;2021-S01;200;29;65496
01;2021-S01;210;39;85588
01;2021-S01;193;49;89678
01;2021-S01;198;59;89791
01;2021-S01;148;69;73500
01;2021-S01;104;79;51011
01;2021-S01;100;89;26830
01;2021-S01;47;90;7395
01;2021-S01;1433;0;656955
01;2021-S02;59;09;83001
01;2021-S02;170;19;84665
01;2021-S02;169;29;65496
01;2021-S02;200;39;85588
01;2021-S02;203;49;89678
01;2021-S02;187;59;89791
01;2021-S02;135;69;73500
01;2021-S02;100;79;51011
01;2021-S02;62;89;26830
01;2021-S02;30;90;7395
01;2021-S02;1315;0;656955
01;2021-S03;95;09;83001
01;2021-S03;198;19;84665
01;2021-S03;176;29;65496
01;2021-S03;248;39;85588
01;2021-S03;220;49;89678
01;2021-S03;220;59;89791
01;2021-S03;128;69;73500
01;2021-S03;83;79;51011
01;2021-S03;68;89;26830
01;2021-S03;46;90;7395
01;2021-S03;1482;0;656955
01;2021-S04;77;09;83001
01;2021-S04;228;19;84665
01;2021-S04;188;29;65496
01;2021-S04;248;39;85588
01;2021-S04;261;49;89678
01;2021-S04;206;59;89791
01;2021-S04;146;69;73500
01;2021-S04;87;79;51011
01;2021-S04;104;89;26830
01;2021-S04;62;90;7395
01;2021-S04;1607;0;656955
01;2021-S05;74;09;83001
01;2021-S05;256;19;84665
01;2021-S05;165;29;65496
01;2021-S05;214;39;85588
01;2021-S05;233;49;89678
01;2021-S05;240;59;89791
01;2021-S05;152;69;73500
01;2021-S05;92;79;51011
01;2021-S05;85;89;26830
01;2021-S05;82;90;7395
01;2021-S05;1594;0;656955
01;2021-S06;52;09;83001
01;2021-S06;177;19;84665
01;2021-S06;161;29;65496
01;2021-S06;202;39;85588
01;2021-S06;219;49;89678
01;2021-S06;182;59;89791
01;2021-S06;125;69;73500
01;2021-S06;111;79;51011
01;2021-S06;51;89;26830
01;2021-S06;34;90;7395
01;2021-S06;1314;0;656955
01;2021-S07;58;09;83001
01;2021-S07;172;19;84665
01;2021-S07;158;29;65496
01;2021-S07;214;39;85588
01;2021-S07;219;49;89678
01;2021-S07;190;59;89791
01;2021-S07;114;69;73500
01;2021-S07;83;79;51011
01;2021-S07;44;89;26830
01;2021-S07;18;90;7395
01;2021-S07;1270;0;656955
01;2021-S08;79;09;83001
01;2021-S08;200;19;84665
01;2021-S08;183;29;65496
01;2021-S08;223;39;85588
01;2021-S08;201;49;89678
01;2021-S08;192;59;89791
01;2021-S08;129;69;73500
01;2021-S08;89;79;51011
01;2021-S08;48;89;26830
01;2021-S08;14;90;7395
01;2021-S08;1358;0;656955
01;2021-S09;69;09;83001
01;2021-S09;123;19;84665
01;2021-S09;150;29;65496
01;2021-S09;186;39;85588
01;2021-S09;168;49;89678
01;2021-S09;170;59;89791
01;2021-S09;121;69;73500
01;2021-S09;82;79;51011
01;2021-S09;32;89;26830
01;2021-S09;13;90;7395
01;2021-S09;1114;0;656955
01;2021-S10;78;09;83001
01;2021-S10;237;19;84665
01;2021-S10;176;29;65496
01;2021-S10;203;39;85588
01;2021-S10;229;49;89678
01;2021-S10;174;59;89791
01;2021-S10;118;69;73500
01;2021-S10;73;79;51011
01;2021-S10;37;89;26830
01;2021-S10;6;90;7395
01;2021-S10;1331;0;656955
01;2021-S11;96;09;83001
01;2021-S11;314;19;84665
01;2021-S11;223;29;65496
01;2021-S11;294;39;85588
01;2021-S11;255;49;89678
01;2021-S11;266;59;89791
01;2021-S11;149;69;73500
01;2021-S11;75;79;51011
01;2021-S11;30;89;26830
01;2021-S11;9;90;7395
01;2021-S11;1711;0;656955
01;2021-S12;175;09;83001
01;2021-S12;428;19;84665
01;2021-S12;276;29;65496
01;2021-S12;335;39;85588
01;2021-S12;355;49;89678
01;2021-S12;317;59;89791
01;2021-S12;175;69;73500
01;2021-S12;102;79;51011
01;2021-S12;32;89;26830
01;2021-S12;10;90;7395
01;2021-S12;2205;0;656955
01;2021-S13;156;09;83001
01;2021-S13;481;19;84665
01;2021-S13;374;29;65496
01;2021-S13;408;39;85588
01;2021-S13;438;49;89678
01;2021-S13;392;59;89791
01;2021-S13;196;69;73500
01;2021-S13;144;79;51011
01;2021-S13;52;89;26830
01;2021-S13;20;90;7395
01;2021-S13;2661;0;656955
01;2021-S14;83;09;83001
01;2021-S14;335;19;84665
01;2021-S14;299;29;65496
01;2021-S14;317;39;85588
01;2021-S14;406;49;89678
01;2021-S14;318;59;89791
01;2021-S14;139;69;73500
01;2021-S14;97;79;51011
01;2021-S14;51;89;26830
01;2021-S14;15;90;7395
01;2021-S14;2061;0;656955
01;2021-S15;86;09;83001
01;2021-S15;314;19;84665
01;2021-S15;283;29;65496
01;2021-S15;322;39;85588
01;2021-S15;385;49;89678
01;2021-S15;348;59;89791
01;2021-S15;191;69;73500
01;2021-S15;91;79;51011
01;2021-S15;24;89;26830
01;2021-S15;14;90;7395
01;2021-S15;2058;0;656955
01;2021-S16;99;09;83001
01;2021-S16;228;19;84665
01;2021-S16;260;29;65496
01;2021-S16;289;39;85588
01;2021-S16;299;49;89678
01;2021-S16;286;59;89791
01;2021-S16;172;69;73500
01;2021-S16;85;79;51011
01;2021-S16;34;89;26830
01;2021-S16;13;90;7395
01;2021-S16;1765;0;656955
01;2021-S17;87;09;83001
01;2021-S17;231;19;84665
01;2021-S17;177;29;65496
01;2021-S17;192;39;85588
01;2021-S17;200;49;89678
01;2021-S17;218;59;89791
01;2021-S17;114;69;73500
01;2021-S17;64;79;51011
01;2021-S17;37;89;26830
01;2021-S17;11;90;7395
01;2021-S17;1331;0;656955
02;2020-S21;0;09;62312
02;2020-S21;1;19;67540
02;2020-S21;4;29;51443
02;2020-S21;1;39;62599
02;2020-S21;7;49;64812
02;2020-S21;6;59;70352
02;2020-S21;8;69;69077
02;2020-S21;4;79;45371
02;2020-S21;9;89;25627
02;2020-S21;1;90;6917
02;2020-S21;41;0;526050
02;2020-S22;2;09;62312
02;2020-S22;0;19;67540
02;2020-S22;3;29;51443
02;2020-S22;7;39;62599
02;2020-S22;4;49;64812
02;2020-S22;4;59;70352
02;2020-S22;8;69;69077
02;2020-S22;3;79;45371
02;2020-S22;6;89;25627
02;2020-S22;6;90;6917
02;2020-S22;43;0;526050
02;2020-S23;0;09;62312
02;2020-S23;0;19;67540
02;2020-S23;3;29;51443
02;2020-S23;4;39;62599
02;2020-S23;1;49;64812
02;2020-S23;2;59;70352
02;2020-S23;6;69;69077
02;2020-S23;4;79;45371
02;2020-S23;18;89;25627
02;2020-S23;9;90;6917
02;2020-S23;47;0;526050
02;2020-S24;0;09;62312
02;2020-S24;1;19;67540
02;2020-S24;2;29;51443
02;2020-S24;1;39;62599
02;2020-S24;5;49;64812
02;2020-S24;3;59;70352
02;2020-S24;5;69;69077
02;2020-S24;5;79;45371
02;2020-S24;14;89;25627
02;2020-S24;4;90;6917
02;2020-S24;40;0;526050
02;2020-S25;0;09;62312
02;2020-S25;1;19;67540
02;2020-S25;4;29;51443
02;2020-S25;1;39;62599
02;2020-S25;1;49;64812
02;2020-S25;0;59;70352
02;2020-S25;1;69;69077
02;2020-S25;4;79;45371
02;2020-S25;8;89;25627
02;2020-S25;4;90;6917
02;2020-S25;24;0;526050
02;2020-S26;0;09;62312
02;2020-S26;0;19;67540
02;2020-S26;5;29;51443
02;2020-S26;3;39;62599
02;2020-S26;3;49;64812
02;2020-S26;0;59;70352
02;2020-S26;2;69;69077
02;2020-S26;5;79;45371
02;2020-S26;2;89;25627
02;2020-S26;0;90;6917
02;2020-S26;20;0;526050
02;2020-S27;3;09;62312
02;2020-S27;3;19;67540
02;2020-S27;2;29;51443
02;2020-S27;2;39;62599
02;2020-S27;3;49;64812
02;2020-S27;1;59;70352
02;2020-S27;2;69;69077
02;2020-S27;3;79;45371
02;2020-S27;0;89;25627
02;2020-S27;1;90;6917
02;2020-S27;20;0;526050
02;2020-S28;0;09;62312
02;2020-S28;3;19;67540
02;2020-S28;4;29;51443
02;2020-S28;0;39;62599
02;2020-S28;0;49;64812
02;2020-S28;3;59;70352
02;2020-S28;2;69;69077
02;2020-S28;4;79;45371
02;2020-S28;5;89;25627
02;2020-S28;3;90;6917
02;2020-S28;24;0;526050
02;2020-S29;0;09;62312
02;2020-S29;0;19;67540
02;2020-S29;3;29;51443
02;2020-S29;2;39;62599
02;2020-S29;1;49;64812
02;2020-S29;1;59;70352
02;2020-S29;2;69;69077
02;2020-S29;0;79;45371
02;2020-S29;0;89;25627
02;2020-S29;1;90;6917
02;2020-S29;10;0;526050
02;2020-S30;1;09;62312
02;2020-S30;1;19;67540
02;2020-S30;8;29;51443
02;2020-S30;3;39;62599
02;2020-S30;2;49;64812
02;2020-S30;0;59;70352
02;2020-S30;3;69;69077
02;2020-S30;2;79;45371
02;2020-S30;1;89;25627
02;2020-S30;2;90;6917
02;2020-S30;23;0;526050
02;2020-S31;2;09;62312
02;2020-S31;2;19;67540
02;2020-S31;0;29;51443
02;2020-S31;3;39;62599
02;2020-S31;1;49;64812
02;2020-S31;1;59;70352
02;2020-S31;2;69;69077
02;2020-S31;2;79;45371
02;2020-S31;3;89;25627
02;2020-S31;1;90;6917
02;2020-S31;17;0;526050
02;2020-S32;4;09;62312
02;2020-S32;4;19;67540
02;2020-S32;2;29;51443
02;2020-S32;2;39;62599
02;2020-S32;6;49;64812
02;2020-S32;2;59;70352
02;2020-S32;2;69;69077
02;2020-S32;6;79;45371
02;2020-S32;1;89;25627
02;2020-S32;0;90;6917
02;2020-S32;29;0;526050
02;2020-S33;0;09;62312
02;2020-S33;4;19;67540
02;2020-S33;7;29;51443
02;2020-S33;1;39;62599
02;2020-S33;2;49;64812
02;2020-S33;5;59;70352
02;2020-S33;5;69;69077
02;2020-S33;2;79;45371
02;2020-S33;1;89;25627
02;2020-S33;0;90;6917
02;2020-S33;27;0;526050
02;2020-S34;2;09;62312
02;2020-S34;4;19;67540
02;2020-S34;34;29;51443
02;2020-S34;6;39;62599
02;2020-S34;8;49;64812
02;2020-S34;6;59;70352
02;2020-S34;3;69;69077
02;2020-S34;2;79;45371
02;2020-S34;1;89;25627
02;2020-S34;2;90;6917
02;2020-S34;68;0;526050
02;2020-S35;4;09;62312
02;2020-S35;8;19;67540
02;2020-S35;25;29;51443
02;2020-S35;16;39;62599
02;2020-S35;17;49;64812
02;2020-S35;10;59;70352
02;2020-S35;4;69;69077
02;2020-S35;5;79;45371
02;2020-S35;3;89;25627
02;2020-S35;0;90;6917
02;2020-S35;92;0;526050
02;2020-S36;4;09;62312
02;2020-S36;24;19;67540
02;2020-S36;25;29;51443
02;2020-S36;26;39;62599
02;2020-S36;13;49;64812
02;2020-S36;14;59;70352
02;2020-S36;4;69;69077
02;2020-S36;6;79;45371
02;2020-S36;1;89;25627
02;2020-S36;0;90;6917
02;2020-S36;117;0;526050
02;2020-S37;8;09;62312
02;2020-S37;38;19;67540
02;2020-S37;61;29;51443
02;2020-S37;21;39;62599
02;2020-S37;24;49;64812
02;2020-S37;15;59;70352
02;2020-S37;17;69;69077
02;2020-S37;8;79;45371
02;2020-S37;1;89;25627
02;2020-S37;2;90;6917
02;2020-S37;195;0;526050
02;2020-S38;13;09;62312
02;2020-S38;59;19;67540
02;2020-S38;61;29;51443
02;2020-S38;32;39;62599
02;2020-S38;25;49;64812
02;2020-S38;23;59;70352
02;2020-S38;14;69;69077
02;2020-S38;13;79;45371
02;2020-S38;5;89;25627
02;2020-S38;3;90;6917
02;2020-S38;248;0;526050
02;2020-S39;8;09;62312
02;2020-S39;46;19;67540
02;2020-S39;47;29;51443
02;2020-S39;36;39;62599
02;2020-S39;33;49;64812
02;2020-S39;34;59;70352
02;2020-S39;22;69;69077
02;2020-S39;20;79;45371
02;2020-S39;8;89;25627
02;2020-S39;1;90;6917
02;2020-S39;255;0;526050
02;2020-S40;14;09;62312
02;2020-S40;42;19;67540
02;2020-S40;44;29;51443
02;2020-S40;42;39;62599
02;2020-S40;51;49;64812
02;2020-S40;33;59;70352
02;2020-S40;23;69;69077
02;2020-S40;14;79;45371
02;2020-S40;4;89;25627
02;2020-S40;2;90;6917
02;2020-S40;269;0;526050
02;2020-S41;11;09;62312
02;2020-S41;73;19;67540
02;2020-S41;89;29;51443
02;2020-S41;92;39;62599
02;2020-S41;85;49;64812
02;2020-S41;84;59;70352
02;2020-S41;67;69;69077
02;2020-S41;25;79;45371
02;2020-S41;14;89;25627
02;2020-S41;3;90;6917
02;2020-S41;543;0;526050
02;2020-S42;24;09;62312
02;2020-S42;102;19;67540
02;2020-S42;166;29;51443
02;2020-S42;148;39;62599
02;2020-S42;135;49;64812
02;2020-S42;126;59;70352
02;2020-S42;97;69;69077
02;2020-S42;75;79;45371
02;2020-S42;28;89;25627
02;2020-S42;14;90;6917
02;2020-S42;915;0;526050
02;2020-S43;32;09;62312
02;2020-S43;157;19;67540
02;2020-S43;212;29;51443
02;2020-S43;257;39;62599
02;2020-S43;238;49;64812
02;2020-S43;221;59;70352
02;2020-S43;150;69;69077
02;2020-S43;111;79;45371
02;2020-S43;93;89;25627
02;2020-S43;55;90;6917
02;2020-S43;1526;0;526050
02;2020-S44;36;09;62312
02;2020-S44;172;19;67540
02;2020-S44;237;29;51443
02;2020-S44;280;39;62599
02;2020-S44;269;49;64812
02;2020-S44;266;59;70352
02;2020-S44;210;69;69077
02;2020-S44;156;79;45371
02;2020-S44;64;89;25627
02;2020-S44;24;90;6917
02;2020-S44;1715;0;526050
02;2020-S45;50;09;62312
02;2020-S45;209;19;67540
02;2020-S45;233;29;51443
02;2020-S45;223;39;62599
02;2020-S45;284;49;64812
02;2020-S45;272;59;70352
02;2020-S45;203;69;69077
02;2020-S45;133;79;45371
02;2020-S45;98;89;25627
02;2020-S45;51;90;6917
02;2020-S45;1756;0;526050
02;2020-S46;45;09;62312
02;2020-S46;177;19;67540
02;2020-S46;134;29;51443
02;2020-S46;161;39;62599
02;2020-S46;195;49;64812
02;2020-S46;152;59;70352
02;2020-S46;133;69;69077
02;2020-S46;75;79;45371
02;2020-S46;57;89;25627
02;2020-S46;25;90;6917
02;2020-S46;1154;0;526050
02;2020-S47;37;09;62312
02;2020-S47;137;19;67540
02;2020-S47;94;29;51443
02;2020-S47;112;39;62599
02;2020-S47;101;49;64812
02;2020-S47;128;59;70352
02;2020-S47;80;69;69077
02;2020-S47;63;79;45371
02;2020-S47;66;89;25627
02;2020-S47;27;90;6917
02;2020-S47;845;0;526050
02;2020-S48;28;09;62312
02;2020-S48;80;19;67540
02;2020-S48;83;29;51443
02;2020-S48;79;39;62599
02;2020-S48;82;49;64812
02;2020-S48;98;59;70352
02;2020-S48;64;69;69077
02;2020-S48;64;79;45371
02;2020-S48;51;89;25627
02;2020-S48;30;90;6917
02;2020-S48;660;0;526050
02;2020-S49;19;09;62312
02;2020-S49;68;19;67540
02;2020-S49;103;29;51443
02;2020-S49;85;39;62599
02;2020-S49;109;49;64812
02;2020-S49;97;59;70352
02;2020-S49;62;69;69077
02;2020-S49;58;79;45371
02;2020-S49;62;89;25627
02;2020-S49;41;90;6917
02;2020-S49;704;0;526050
02;2020-S50;15;09;62312
02;2020-S50;147;19;67540
02;2020-S50;99;29;51443
02;2020-S50;128;39;62599
02;2020-S50;134;49;64812
02;2020-S50;120;59;70352
02;2020-S50;91;69;69077
02;2020-S50;73;79;45371
02;2020-S50;86;89;25627
02;2020-S50;44;90;6917
02;2020-S50;937;0;526050
02;2020-S51;38;09;62312
02;2020-S51;144;19;67540
02;2020-S51;142;29;51443
02;2020-S51;233;39;62599
02;2020-S51;220;49;64812
02;2020-S51;214;59;70352
02;2020-S51;159;69;69077
02;2020-S51;93;79;45371
02;2020-S51;111;89;25627
02;2020-S51;42;90;6917
02;2020-S51;1396;0;526050
02;2020-S52;29;09;62312
02;2020-S52;84;19;67540
02;2020-S52;114;29;51443
02;2020-S52;122;39;62599
02;2020-S52;128;49;64812
02;2020-S52;122;59;70352
02;2020-S52;83;69;69077
02;2020-S52;75;79;45371
02;2020-S52;67;89;25627
02;2020-S52;39;90;6917
02;2020-S52;863;0;526050
02;2020-S53;23;09;62312
02;2020-S53;104;19;67540
02;2020-S53;127;29;51443
02;2020-S53;127;39;62599
02;2020-S53;130;49;64812
02;2020-S53;150;59;70352
02;2020-S53;103;69;69077
02;2020-S53;67;79;45371
02;2020-S53;65;89;25627
02;2020-S53;34;90;6917
02;2020-S53;930;0;526050
02;2021-S01;31;09;62312
02;2021-S01;138;19;67540
02;2021-S01;137;29;51443
02;2021-S01;143;39;62599
02;2021-S01;146;49;64812
02;2021-S01;150;59;70352
02;2021-S01;100;69;69077
02;2021-S01;82;79;45371
02;2021-S01;56;89;25627
02;2021-S01;34;90;6917
02;2021-S01;1017;0;526050
02;2021-S02;42;09;62312
02;2021-S02;157;19;67540
02;2021-S02;136;29;51443
02;2021-S02;170;39;62599
